Community 1: food, bout, lace, killer, profit, fa, dey, smoothies, fent, serial, easily, cheapa, cuh, scary, sell, cop, could, plugs, burgers, gaf, imaging

Community 2: drug, pretty, caught, beyond, selling, else, someone, gone, takes, deals, laced, stuff, ve, get, life, deadly, belief

Community 3: proud, would, hard, child, losing, especially, days, too, wedorecover, this, like, day, since, year, watching, hugs, one

Community 4: still, obviously, says, fake, addict, rando, account, behind, damn, always, ur, recovering, hiding, it

Community 5: establishment, people, maybe, patient, drugs, medical, pain, street, treated, treat, need, sorry, loss

Community 6: small, threw, away, dr, gave, stenosis, spinal, nothing, back, fentanyl, patches

Community 7: lovely, relationships, sis, strong, felt, connection, dear, concerning, messages, reading

Community 8: cdc, user, room, narcan, even, something, carry, recommends, used

Community 9: video, powerful, awareness, thank, raising, needs, really, everyone, see

Community 10: also, evil

Community 11: bro, nice

Community 12: negative, comments

Community 13: family, condolences

Community 14: state, contact

Community 15: lil, freezi

Community 16: yeah, hell

Community 17: voice, jellyroll

Community 18: right, world

